Subtema	Surah	Ayat	Terjemahan
Keabadian Neraka	7	36	Dan orang-orang yang mendustakan ayat-ayat Kami dan menyombongkan diri terhadapnya, mereka itu penghuni-penghuni neraka mereka kekal di dalamnya.
Keabadian Neraka	9	17	Tidaklah pantas orang-orang musyrik itu memakmurkan mesjid-mesjid Allah, sedang mereka mengakui bahwa mereka sendiri kafir. Itulah orang-orang yang sia-sia pekerjaannya, dan mereka kekal di dalam neraka.
Keabadian Neraka	9	63	Tidaklah mereka (orang-orang munafik itu) mengetahui bahwasanya barangsiapa menentang Allah dan Rasul-Nya, maka sesungguhnya nerakan jahannam-lah baginya, kekal mereka di dalamnya. Itu adalah kehinaan yang besar.
Keabadian Neraka	9	68	Allah mengancam orang-orang munafik laki-laki dan perempuan dan orang-orang kafir dengan neraka Jahannam, mereka kekal di dalamnya. Cukuplah neraka itu bagi mereka, dan Allah melaknati mereka, dan bagi mereka azab yang kekal.
Keabadian Neraka	10	27	Dan orang-orang yang mengerjakan kejahatan (mendapat) balasan yang setimpal dan mereka ditutupi kehinaan. Tidak ada bagi mereka seorang pelindungpun dari (azab) Allah, seakan-akan muka mereka ditutupi dengan kepingan-kepingan malam yang gelap gelita. Mereka itulah penghuni neraka mereka kekal di dalamnya.
Keabadian Neraka	10	52	"Kemudian dikatakan kepada orang-orang yang zalim (musyrik) itu ""Rasakanlah olehmu siksaan yang kekal kamu tidak diberi balasan melainkan dengan apa yang telah kamu kerjakan""."
Keabadian Neraka	11	107	mereka kekal di dalamnya selama ada langit dan bumi, kecuali jika Tuhanmu menghendaki (yang lain). Sesungguhnya Tuhanmu Maha Pelaksana terhadap apa yang Dia kehendaki.
Keabadian Neraka	13	5	"Dan jika (ada sesuatu) yang kamu herankan, maka yang patut mengherankan adalah ucapan mereka ""Apabila kami telah menjadi tanah, apakah kami sesungguhnya akan (dikembalikan) menjadi makhluk yang baru?"" Orang-orang itulah yang kafir kepada Tuhannya dan orang-orang itulah (yang dilekatkan) belenggu di lehernya mereka itulah penghuni neraka, mereka kekal di dalamnya."
Keabadian Neraka	14	17	diminumnnya air nanah itu dan hampir dia tidak bisa menelannya dan datanglah (bahaya) maut kepadanya dari segenap penjuru, tetapi dia tidak juga mati, dan dihadapannya masih ada azab yang berat.
Keabadian Neraka	16	29	Maka masukilah pintu-pintu neraka Jahannam, kamu kekal di dalamnya. Maka amat buruklah tempat orang-orang yang menyombongkan diri itu.
Keabadian Neraka	20	74	Sesungguhnya barangsiapa datang kepada Tuhannya dalam keadaan berdosa, maka sesungguhnya baginya neraka Jahannam. Ia tidak mati di dalamnya dan tidak (pula) hidup.
Keabadian Neraka	20	101	mereka kekal di dalam keadaan itu. Dan amat buruklah dosa itu sebagai beban bagi mereka di hari kiamat,
Keabadian Neraka	21	99	Andaikata berhala-berhala itu Tuhan, tentulah mereka tidak masuk neraka. Dan semuanya akan kekal di dalamnya.
Keabadian Neraka	23	103	Dan barangsiapa yang ringan timbangannya, maka mereka itulah orang-orang yang merugikan dirinya sendiri, mereka kekal di dalam neraka Jahannam.
Keabadian Neraka	25	66	Sesungguhnya jahannam itu seburuk-buruk tempat menetap dan tempat kediaman.
Keabadian Neraka	25	69	(yakni) akan dilipat gandakan azab untuknya pada hari kiamat dan dia akan kekal dalam azab itu, dalam keadaan terhina,
Keabadian Neraka	32	14	Maka rasailah olehmu (siksa ini) disebabkan kamu melupakan akan pertemuan dengan harimu ini. Sesungguhnya Kami telah melupakan kamu (pula) dan rasakanlah siksa yang kekal, disebabkan apa yang selalu kamu kerjakan.
Keabadian Neraka	33	65	mereka kekal di dalamnya selama-lamanya mereka tidak memperoleh seorang pelindungpun dan tidak (pula) seorang penolong.
Keabadian Neraka	39	40	"siapa yang akan mendapat siksa yang menghinakannya dan lagi ditimpa oleh azab yang kekal""."
Keabadian Neraka	39	72	"Dikatakan (kepada mereka) ""Masukilah pintu-pintu neraka Jahannam itu, sedang kamu kekal di dalamnya"" Maka neraka Jahannam itulah seburuk-buruk tempat bagi orang-orang yang menyombongkan diri."
Keabadian Neraka	40	11	"Mereka menjawab ""Ya Tuhan kami Engkau telah mematikan kami dua kali dan telah menghidupkan kami dua kali (pula), lalu kami mengakui dosa-dosa kami. Maka adakah sesuatu jalan (bagi kami) untuk keluar (dari neraka)?"""
Keabadian Neraka	40	39	Hai kaumku, sesungguhnya kehidupan dunia ini hanyalah kesenangan (sementara) dan sesungguhnya akhirat itulah negeri yang kekal.
Keabadian Neraka	40	76	"(Dikatakan kepada mereka) ""Masuklah kamu ke pintu-pintu neraka Jahannam, sedang kamu kekal di dalamnya. Maka itulah seburuk-buruk tempat bagi orang-orang yang sombong""."
Keabadian Neraka	41	28	Demikianlah balasan terhadap musuh-musuh Allah, (yaitu) neraka mereka mendapat tempat tinggal yang kekal di dalamnya sebagai balasan atas keingkaran mereka terhadap ayat-ayat Kami.
Keabadian Neraka	42	45	"Dan kamu akan melihat mereka dihadapkan ke neraka dalam keadaan tunduk karena (merasa) hina, mereka melihat dengan pandangan yang lesu. Dan orang-orang yang beriman berkata ""Sesungguhnya orang-orang yang merugi ialah orang-orang yang kehilangan diri mereka sendiri dan (kehilangan) keluarga mereka pada hari kiamat. Ingatlah, sesungguhnya orang-orang yang zalim itu berada dalam azab yang kekal."
Keabadian Neraka	43	74	Sesungguhnya orang-orang yang berdosa kekal di dalam azab neraka Jahannam.
Keabadian Neraka	43	77	"Mereka berseru ""Hai Malik biarlah Tuhanmu membunuh kami saja"". Dia menjawab ""Kamu akan tetap tinggal (di neraka ini)""."
Keabadian Neraka	45	35	Yang demikian itu, karena sesungguhnya kamu menjadikan ayat-ayat Allah sebagai olok-olokan dan kamu telah ditipu oleh kehidupan dunia, maka pada hari ini mereka tidak dikeluarkan dari neraka dan tidak pula mereka diberi kesempatan untuk bertaubat.
Keabadian Neraka	47	15	(Apakah) perumpamaan (penghuni) jannah yang dijanjikan kepada orang-orang yang bertakwa yang di dalamnya ada sungai-sungai dari air yang tiada berubah rasa dan baunya, sungai-sungai dari air susu yang tidak berubah rasanya, sungai-sungai dari khamar yang lezat rasanya bagi peminumnya dan sungai-sungai dari madu yang disaring dan mereka memperoleh di dalamnya segala macam buah-buahan dan ampunan dari Rabb mereka, sama dengan orang yang kekal dalam jahannam dan diberi minuman dengan air yang mendidih sehingga memotong ususnya?
Keabadian Neraka	58	17	Harta benda dan anak-anak mereka tiada berguna sedikitpun (untuk menolong) mereka dari azab Allah. Mereka itulah penghuni neraka, dan mereka kekal di dalamnya.
Keabadian Neraka	59	17	Maka adalah kesudahan keduanya, bahwa sesungguhnya keduanya (masuk) ke dalam neraka, mereka kekal di dalamnya. Demikianlah balasan orang-orang yang zalim.
Keabadian Neraka	64	10	Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni-penghuni neraka, mereka kekal di dalamnya. Dan itulah seburuk-buruk tempat kembali.
Keabadian Neraka	78	23	mereka tinggal di dalamnya berabad-abad lamanya,
Keabadian Neraka	98	6	Sesungguhnya orang-orang yang kafir yakni ahli Kitab dan orang-orang yang musyrik (akan masuk) ke neraka Jahannam mereka kekal di dalamnya. Mereka itu adalah seburuk-buruk makhluk.
Memasuki Neraka	2	24	Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir.
Memasuki Neraka	3	192	Ya Tuhan kami, sesungguhnya barangsiapa yang Engkau masukkan ke dalam neraka, maka sungguh telah Engkau hinakan ia, dan tidak ada bagi orang-orang yang zalim seorang penolongpun.
Memasuki Neraka	19	86	dan Kami akan menghalau orang-orang yang durhaka ke neraka Jahannam dalam keadaan dahaga.
Memasuki Neraka	25	13	Dan apabila mereka dilemparkan ke tempat yang sempit di neraka itu dengan dibelenggu, mereka di sana mengharapkan kebinasaan.
Memasuki Neraka	25	14	"(Akan dikatakan kepada mereka) ""Jangan kamu sekalian mengharapkan satu kebinasaan, melainkan harapkanlah kebinasaan yang banyak""."
Memasuki Neraka	26	94	Maka mereka (sembahan-sembahan itu) dijungkirkan ke dalam neraka bersama-sama orang-orang yang sesat,
Memasuki Neraka	26	95	dan bala tentara iblis semuanya.
Memasuki Neraka	27	90	Dan barang siapa yang membawa kejahatan, maka disungkurkanlah muka mereka ke dalam neraka. Tiadalah kamu dibalasi, melainkan (setimpal) dengan apa yang dahulu kamu kerjakan.
Memasuki Neraka	37	68	Kemudian sesungguhnya tempat kembali mereka benar-benar ke neraka jahiim.
Memasuki Neraka	39	71	"Orang-orang kafir dibawa ke neraka Jahannam berombong-rombongan. Sehingga apabila mereka sampai ke neraka itu dibukakanlah pintu-pintunya dan berkatalah kepada mereka penjaga-penjaganya ""Apakah belum pernah datang kepadamu rasul-rasul di antaramu yang membacakan kepadamu ayat-ayat Tuhanmu dan memperingatkan kepadamu akan pertemuan dengan hari ini?"" Mereka menjawab ""Benar (telah datang)"". Tetapi telah pasti berlaku ketetapan azab terhadap orang-orang yang kafir."
Memasuki Neraka	40	60	"Dan Tuhanmu berfirman ""Berdoalah kepada-Ku, niscaya akan Kuperkenankan bagimu. Sesungguhnya orang-orang yang menyombongkan diri dari menyembah-Ku akan masuk neraka Jahannam dalam keadaan hina dina""."
Memasuki Neraka	40	71	ketika belenggu dan rantai dipasang di leher mereka, seraya mereka diseret,
Memasuki Neraka	40	72	ke dalam air yang sangat panas, kemudian mereka dibakar dalam api,
Memasuki Neraka	40	76	"(Dikatakan kepada mereka) ""Masuklah kamu ke pintu-pintu neraka Jahannam, sedang kamu kekal di dalamnya. Maka itulah seburuk-buruk tempat bagi orang-orang yang sombong""."
Memasuki Neraka	44	47	Peganglah dia kemudian seretlah dia ke tengah-tengah neraka.
Memasuki Neraka	52	13	pada hari mereka didorong ke neraka Jahannam dengan sekuat-kuatnya.
Memasuki Neraka	52	16	Masukklah kamu ke dalamnya (rasakanlah panas apinya) maka baik kamu bersabar atau tidak, sama saja bagimu kamu diberi balasan terhadap apa yang telah kamu kerjakan.
Memasuki Neraka	54	48	"(Ingatlah) pada hari mereka diseret ke neraka atas muka mereka. (Dikatakan kepada mereka) ""Rasakanlah sentuhan api neraka!"""
Memasuki Neraka	55	41	Orang-orang yang berdosa dikenal dengan tanda-tandannya, lalu dipegang ubun-ubun dan kaki mereka.
Memasuki Neraka	67	7	Apabila mereka dilemparkan ke dalamnya mereka mendengar suara neraka yang mengerikan, sedang neraka itu menggelegak,
Memasuki Neraka	67	8	"hampir-hampir (neraka) itu terpecah-pecah lantaran marah. Setiap kali dilemparkan ke dalamnya sekumpulan (orang-orang kafir), penjaga-penjaga (neraka itu) bertanya kepada mereka ""Apakah belum pernah datang kepada kamu (di dunia) seorang pemberi peringatan?"""
Memasuki Neraka	69	30	"(Allah berfirman) ""Peganglah dia lalu belenggulah tangannya ke lehernya."
Memasuki Neraka	69	31	Kemudian masukkanlah dia ke dalam api neraka yang menyala-nyala.
Memasuki Neraka	78	21	Sesungguhnya neraka Jahannam itu (padanya) ada tempat pengintai,
Penjaga Neraka	39	71	"Orang-orang kafir dibawa ke neraka Jahannam berombong-rombongan. Sehingga apabila mereka sampai ke neraka itu dibukakanlah pintu-pintunya dan berkatalah kepada mereka penjaga-penjaganya ""Apakah belum pernah datang kepadamu rasul-rasul di antaramu yang membacakan kepadamu ayat-ayat Tuhanmu dan memperingatkan kepadamu akan pertemuan dengan hari ini?"" Mereka menjawab ""Benar (telah datang)"". Tetapi telah pasti berlaku ketetapan azab terhadap orang-orang yang kafir."
Penjaga Neraka	40	49	"Dan orang-orang yang berada dalam neraka berkata kepada penjaga-penjaga neraka Jahannam ""Mohonkanlah kepada Tuhanmu supaya Dia meringankan azab dari kami barang sehari""."
Penjaga Neraka	43	77	"Mereka berseru ""Hai Malik biarlah Tuhanmu membunuh kami saja"". Dia menjawab ""Kamu akan tetap tinggal (di neraka ini)""."
Penjaga Neraka	66	6	Hai orang-orang yang beriman, peliharalah dirimu dan keluargamu dari api neraka yang bahan bakarnya adalah manusia dan batu penjaganya malaikat-malaikat yang kasar, keras, dan tidak mendurhakai Allah terhadap apa yang diperintahkan-Nya kepada mereka dan selalu mengerjakan apa yang diperintahkan.
Penjaga Neraka	67	8	"hampir-hampir (neraka) itu terpecah-pecah lantaran marah. Setiap kali dilemparkan ke dalamnya sekumpulan (orang-orang kafir), penjaga-penjaga (neraka itu) bertanya kepada mereka ""Apakah belum pernah datang kepada kamu (di dunia) seorang pemberi peringatan?"""
Penjaga Neraka	74	30	Dan di atasnya ada sembilan belas (malaikat penjaga).
Penjaga Neraka	74	31	"Dan tiada Kami jadikan penjaga neraka itu melainkan dari malaikat dan tidaklah Kami menjadikan bilangan mereka itu melainkan untuk jadi cobaan bagi orang-orang kafir, supaya orang-orang yang diberi Al-Kitab menjadi yakin dan supaya orang yang beriman bertambah imannya dan supaya orang-orang yang diberi Al Kitab dan orng-orang mukmin itu tidak ragu-ragu dan supaya orang-orang yang di dalam hatinya ada penyakit dan orang-orang kafir (mengatakan) ""Apakah yang dikehendaki Allah dengan bilangan ini sebagai suatu perumpamaan?"" Demikianlah Allah membiarkan sesat orang-orang yang dikehendaki-Nya dan memberi petunjuk kepada siapa yang dikehendaki-Nya. Dan tidak ada yang mengetahui tentara Tuhanmu melainkan Dia sendiri. Dan Saqar itu tiada lain hanyalah peringatan bagi manusia."
Penjaga Neraka	96	18	kelak Kami akan memanggil malaikat Zabaniyah,
Sifat Neraka	2	24	Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir.
Sifat Neraka	7	38	"Allah berfirman ""Masuklah kamu sekalian ke dalam neraka bersama umat-umat jin dan manusia yang telah terdahulu sebelum kamu. Setiap suatu umat masuk (ke dalam neraka), dia mengutuk kawannya (menyesatkannya) sehingga apabila mereka masuk semuanya berkatalah orang-orang yang masuk kemudian di antara mereka kepada orang-orang yang masuk terdahulu ""Ya Tuhan kami, mereka telah menyesatkan kami, sebab itu datangkanlah kepada mereka siksaan yang berlipat ganda dari neraka"". Allah berfirman ""Masing-masing mendapat (siksaan) yang berlipat ganda, akan tetapi kamu tidak mengetahui""."
Sifat Neraka	7	41	Mereka mempunyai tikar tidur dari api neraka dan di atas mereka ada selimut (api neraka). Demikianlah Kami memberi balasan kepada orang-orang yang zalim,
Sifat Neraka	9	81	"Orang-orang yang ditinggalkan (tidak ikut perang) itu, merasa gembira dengan tinggalnya mereka di belakang Rasulullah, dan mereka tidak suka berjihad dengan harta dan jiwa mereka pada jalan Allah dan mereka berkata ""Janganlah kamu berangkat (pergi berperang) dalam panas terik ini"". Katakanlah ""Api neraka jahannam itu lebih sangat panas(nya)"" jika mereka mengetahui."
Sifat Neraka	11	6	Dan tidak ada suatu binatang melata pun di bumi melainkan Allah-lah yang memberi rezekinya, dan Dia mengetahui tempat berdiam binatang itu dan tempat penyimpanannya. Semuanya tertulis dalam Kitab yang nyata (Lauh mahfuzh).
Sifat Neraka	13	18	Bagi orang-orang yang memenuhi seruan Tuhannya, (disediakan) pembalasan yang baik. Dan orang-orang yang tidak memenuhi seruan Tuhan, sekiranya mereka mempunyai semua (kekayaan) yang ada di bumi dan (ditambah) sebanyak isi bumi itu lagi besertanya, niscaya mereka akan menebus dirinya dengan kekayaan itu. Orang-orang itu disediakan baginya hisab yang buruk dan tempat kediaman mereka ialah jahannam dan itulah seburuk-buruk tempat kediaman.
Sifat Neraka	14	16	di hadapannya ada Jahannam dan dia akan diberi minuman dengan air nanah,
Sifat Neraka	14	17	diminumnnya air nanah itu dan hampir dia tidak bisa menelannya dan datanglah (bahaya) maut kepadanya dari segenap penjuru, tetapi dia tidak juga mati, dan dihadapannya masih ada azab yang berat.
Sifat Neraka	14	29	yaitu neraka jahannam mereka masuk kedalamnya dan itulah seburuk-buruk tempat kediaman.
Sifat Neraka	15	44	Jahannam itu mempunyai tujuh pintu. Tiap-tiap pintu (telah ditetapkan) untuk golongan yang tertentu dari mereka.
Sifat Neraka	16	29	Maka masukilah pintu-pintu neraka Jahannam, kamu kekal di dalamnya. Maka amat buruklah tempat orang-orang yang menyombongkan diri itu.
Sifat Neraka	17	8	Mudah-mudahan Tuhanmu akan melimpahkan rahmat(Nya) kepadamu dan sekiranya kamu kembali kepada (kedurhakaan) niscaya Kami kembali (mengazabmu) dan Kami jadikan neraka Jahannam penjara bagi orang-orang yang tidak beriman.
Sifat Neraka	17	97	Dan barangsiapa yang ditunjuki Allah, dialah yang mendapat petunjuk dan barangsiapa yang Dia sesatkan maka sekali-kali kamu tidak akan mendapat penolong-penolong bagi mereka selain dari Dia. Dan Kami akan mengumpulkan mereka pada hari kiamat (diseret) atas muka mereka dalam keadaan buta, bisu dan pekak. Tempat kediaman mereka adalah neraka jahannam. Tiap-tiap kali nyala api Jahannam itu akan padam, Kami tambah lagi bagi mereka nyalanya.
Sifat Neraka	18	29	"Dan katakanlah ""Kebenaran itu datangnya dari Tuhanmu maka barangsiapa yang ingin (beriman) hendaklah ia beriman, dan barangsiapa yang ingin (kafir) biarlah ia kafir"". Sesungguhnya Kami telah sediakan bagi orang orang zalim itu neraka, yang gejolaknya mengepung mereka. Dan jika mereka meminta minum, niscaya mereka akan diberi minum dengan air seperti besi yang mendidih yang menghanguskan muka. Itulah minuman yang paling buruk dan tempat istirahat yang paling jelek."
Sifat Neraka	18	53	Dan orang-orang yang berdosa melihat neraka, maka mereka meyakini, bahwa mereka akan jatuh ke dalamnya dan mereka tidak menemukan tempat berpaling dari padanya.
Sifat Neraka	21	100	Mereka merintih di dalam api dan mereka di dalamnya tidak bisa mendengar.
Sifat Neraka	22	19	Inilah dua golongan (golongan mukmin dan golongan kafir) yang bertengkar, mereka saling bertengkar mengenai Tuhan mereka. Maka orang kafir akan dibuatkan untuk mereka pakaian-pakaian dari api neraka. Disiramkan air yang sedang mendidih ke atas kepala mereka.
Sifat Neraka	22	20	Dengan air itu dihancur luluhkan segala apa yang ada dalam perut mereka dan juga kulit (mereka).
Sifat Neraka	22	21	Dan untuk mereka cambuk-cambuk dari besi.
Sifat Neraka	22	22	"Setiap kali mereka hendak ke luar dari neraka lantaran kesengsaraan mereka, niscaya mereka dikembalikan ke dalamnya. (Kepada mereka dikatakan), ""Rasailah azab yang membakar ini""."
Sifat Neraka	23	104	Muka mereka dibakar api neraka, dan mereka di dalam neraka itu dalam keadaan cacat.
Sifat Neraka	24	57	Janganlah kamu kira bahwa orang-orang yang kafir itu dapat melemahkan (Allah dari mengazab mereka) di bumi ini, sedang tempat tinggal mereka (di akhirat) adalah neraka. Dan sungguh amat jeleklah tempat kembali itu.
Sifat Neraka	25	12	Apabila neraka itu melihat mereka dari tempat yang jauh, mereka mendengar kegeramannya dan suara nyalanya.
Sifat Neraka	25	13	Dan apabila mereka dilemparkan ke tempat yang sempit di neraka itu dengan dibelenggu, mereka di sana mengharapkan kebinasaan.
Sifat Neraka	25	34	Orang-orang yang dihimpunkan ke neraka Jahannam dengan diseret atas muka-muka mereka, mereka itulah orang yang paling buruk tempatnya dan paling sesat jalannya.
Sifat Neraka	25	65	"Dan orang-orang yang berkata ""Ya Tuhan kami, jauhkan azab jahannam dari kami, sesungguhnya azabnya itu adalah kebinasaan yang kekal""."
Sifat Neraka	25	66	Sesungguhnya jahannam itu seburuk-buruk tempat menetap dan tempat kediaman.
Sifat Neraka	25	77	"Katakanlah (kepada orang-orang musyrik) ""Tuhanku tidak mengindahkan kamu, melainkan kalau ada ibadatmu. (Tetapi bagaimana kamu beribadat kepada-Nya), padahal kamu sungguh telah mendustakan-Nya? karena itu kelak (azab) pasti (menimpamu)""."
Sifat Neraka	29	55	"pada hari mereka ditutup oleh azab dari atas mereka dan dari bawah kaki mereka dan Allah berkata (kepada mereka) ""Rasailah (pembalasan dari) apa yang telah kamu kerjakan""."
Sifat Neraka	37	62	(Makanan surga) itukah hidangan yang lebih baik ataukah pohon zaqqum.
Sifat Neraka	37	63	Sesungguhnya Kami menjadikan pohon zaqqum itu sebagai siksaan bagi orang-orang yang zalim.
Sifat Neraka	37	64	Sesungguhnya dia adalah sebatang pohon yang ke luar dan dasar neraka yang menyala.
Sifat Neraka	37	65	mayangnya seperti kepala syaitan-syaitan.
Sifat Neraka	37	66	Maka sesungguhnya mereka benar-benar memakan sebagian dari buah pohon itu, maka mereka memenuhi perutnya dengan buah zaqqum itu.
Sifat Neraka	37	67	Kemudian sesudah makan buah pohon zaqqum itu pasti mereka mendapat minuman yang bercampur dengan air yang sangat panas.
Sifat Neraka	38	57	Inilah (azab neraka), biarlah mereka merasakannya, (minuman mereka) air yang sangat panas dan air yang sangat dingin.
Sifat Neraka	38	58	Dan azab yang lain yang serupa itu berbagai macam.
Sifat Neraka	39	16	Bagi mereka lapisan-lapisan dari api di atas mereka dan di bawah merekapun lapisan-lapisan (dari api). Demikianlah Allah mempertakuti hamba-hamba-Nya dengan azab itu. Maka bertakwalah kepada-Ku hai hamba-hamba-Ku.
Sifat Neraka	40	49	"Dan orang-orang yang berada dalam neraka berkata kepada penjaga-penjaga neraka Jahannam ""Mohonkanlah kepada Tuhanmu supaya Dia meringankan azab dari kami barang sehari""."
Sifat Neraka	40	52	(yaitu) hari yang tidak berguna bagi orang-orang zalim permintaan maafnya dan bagi merekalah laknat dan bagi merekalah tempat tinggal yang buruk.
Sifat Neraka	43	75	Tidak diringankan azab itu dari mereka dan mereka di dalamnya berputus asa.
Sifat Neraka	44	43	Sesungguhnya pohon zaqqum itu,
Sifat Neraka	44	44	makanan orang yang banyak berdosa.
Sifat Neraka	44	45	(Ia) sebagai kotoran minyak yang mendidih di dalam perut,
Sifat Neraka	44	46	seperti mendidihnya air yang amat panas.
Sifat Neraka	44	48	Kemudian tuangkanlah di atas kepalanya siksaan (dari) air yang amat panas.
Sifat Neraka	47	15	(Apakah) perumpamaan (penghuni) jannah yang dijanjikan kepada orang-orang yang bertakwa yang di dalamnya ada sungai-sungai dari air yang tiada berubah rasa dan baunya, sungai-sungai dari air susu yang tidak berubah rasanya, sungai-sungai dari khamar yang lezat rasanya bagi peminumnya dan sungai-sungai dari madu yang disaring dan mereka memperoleh di dalamnya segala macam buah-buahan dan ampunan dari Rabb mereka, sama dengan orang yang kekal dalam jahannam dan diberi minuman dengan air yang mendidih sehingga memotong ususnya?
Sifat Neraka	50	30	"(Dan ingatlah akan) hari (yang pada hari itu) Kami bertanya kepada jahannam ""Apakah kamu sudah penuh?"" Dia menjawab ""Masih ada tambahan?"""
Sifat Neraka	54	48	"(Ingatlah) pada hari mereka diseret ke neraka atas muka mereka. (Dikatakan kepada mereka) ""Rasakanlah sentuhan api neraka!"""
Sifat Neraka	55	44	Mereka berkeliling di antaranya dan di antara air mendidih yang memuncak panasnya.
Sifat Neraka	56	42	Dalam (siksaan) angin yang amat panas, dan air panas yang mendidih,
Sifat Neraka	56	43	dan dalam naungan asap yang hitam.
Sifat Neraka	56	44	Tidak sejuk dan tidak menyenangkan.
Sifat Neraka	56	93	maka dia mendapat hidangan air yang mendidih,
Sifat Neraka	56	94	dan dibakar di dalam jahannam.
Sifat Neraka	58	8	"Apakah tidak kamu perhatikan orang-orang yang telah dilarang mengadakan pembicaraan rahasia, kemudian mereka kembali (mengerjakan) larangan itu dan mereka mengadakan pembicaraan rahasia untuk berbuat dosa, permusuhan dan durhaka kepada Rasul. Dan apabila mereka datang kepadamu, mereka mengucapkan salam kepadamu dengan memberi salam yang bukan sebagai yang ditentukan Allah untukmu. Dan mereka mengatakan kepada diri mereka sendiri ""Mengapa Allah tidak menyiksa kita disebabkan apa yang kita katakan itu?"" Cukuplah bagi mereka Jahannam yang akan mereka masuki. Dan neraka itu adalah seburuk-buruk tempat kembali."
Sifat Neraka	66	6	Hai orang-orang yang beriman, peliharalah dirimu dan keluargamu dari api neraka yang bahan bakarnya adalah manusia dan batu penjaganya malaikat-malaikat yang kasar, keras, dan tidak mendurhakai Allah terhadap apa yang diperintahkan-Nya kepada mereka dan selalu mengerjakan apa yang diperintahkan.
Sifat Neraka	67	7	Apabila mereka dilemparkan ke dalamnya mereka mendengar suara neraka yang mengerikan, sedang neraka itu menggelegak,
Sifat Neraka	67	8	"hampir-hampir (neraka) itu terpecah-pecah lantaran marah. Setiap kali dilemparkan ke dalamnya sekumpulan (orang-orang kafir), penjaga-penjaga (neraka itu) bertanya kepada mereka ""Apakah belum pernah datang kepada kamu (di dunia) seorang pemberi peringatan?"""
Sifat Neraka	69	31	Kemudian masukkanlah dia ke dalam api neraka yang menyala-nyala.
Sifat Neraka	69	32	Kemudian belitlah dia dengan rantai yang panjangnya tujuh puluh hasta.
Sifat Neraka	70	15	Sekali-kali tidak dapat, sesungguhnya neraka itu adalah api yang bergolak,
Sifat Neraka	70	16	yang mengelupas kulit kepala,
Sifat Neraka	73	12	Karena sesungguhnya pada sisi Kami ada belenggu-belenggu yang berat dan neraka yang menyala-nyala.
Sifat Neraka	74	28	Saqar itu tidak meninggalkan dan tidak membiarkan.
Sifat Neraka	74	29	(Neraka Saqar) adalah pembakar kulit manusia.
Sifat Neraka	74	35	Sesungguhnya Saqar itu adalah salah satu bencana yang amat besar,
Sifat Neraka	76	4	Sesungguhnya Kami menyediakan bagi orang-orang kafir rantai, belenggu dan neraka yang menyala-nyala.
Sifat Neraka	77	30	Pergilah kamu mendapatkan naungan yang mempunyai tiga cabang,
Sifat Neraka	77	31	"yang tidak melindungi dan tidak pula menolak nyala api neraka""."
Sifat Neraka	77	32	Sesungguhnya neraka itu melontarkan bunga api sebesar dan setinggi istana.
Sifat Neraka	77	33	Seolah-olah ia iringan unta yang kuning.
Sifat Neraka	78	21	Sesungguhnya neraka Jahannam itu (padanya) ada tempat pengintai,
Sifat Neraka	88	4	memasuki api yang sangat panas (neraka),
Sifat Neraka	88	5	diberi minum (dengan air) dari sumber yang sangat panas.
Sifat Neraka	90	11	Tetapi dia tiada menempuh jalan yang mendaki lagi sukar.
Sifat Neraka	90	12	Tahukah kamu apakah jalan yang mendaki lagi sukar itu?
Sifat Neraka	90	20	Mereka berada dalam neraka yang ditutup rapat.
Sifat Neraka	92	14	Maka, kami memperingatkan kamu dengan neraka yang menyala-nyala.
Sifat Neraka	101	10	Tahukah kamu apakah neraka Hawiyah itu?
Sifat Neraka	101	11	(Yaitu) api yang sangat panas.
Sifat Neraka	104	4	sekali-kali tidak! Sesungguhnya dia benar-benar akan dilemparkan ke dalam Huthamah.
Sifat Neraka	104	5	Dan tahukah kamu apa Huthamah itu?
Sifat Neraka	104	6	(yaitu) api (yang disediakan) Allah yang dinyalakan,
Sifat Neraka	104	7	yang (membakar) sampai ke hati.
Sifat Neraka	104	8	Sesungguhnya api itu ditutup rapat atas mereka,
Sifat Neraka	104	9	(sedang mereka itu) diikat pada tiang-tiang yang panjang.
Sifat Neraka	111	3	Kelak dia akan masuk ke dalam api yang bergejolak.
Sifat Neraka	111	5	Yang di lehernya ada tali dari sabut.
Sifat Ahli Neraka dan Kejahatan Mereka	2	24	Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir.
Sifat Ahli Neraka dan Kejahatan Mereka	2	39	Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu penghuni neraka mereka kekal di dalamnya.
Sifat Ahli Neraka dan Kejahatan Mereka	2	81	(Bukan demikian), yang benar barangsiapa berbuat dosa dan ia telah diliputi oleh dosanya, mereka itulah penghuni neraka, mereka kekal di dalamnya.
